                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8139,                 4.8528,                 2.6483,                0.51023,                0.25894,                0.25108,                0.11844,                 3.5542,                 3.0862,                 2.8358,             0.00017426,             0.00017426,             0.00017426
                      2,                 3.8309,                 3.0585,                 2.6929,                0.32887,                0.28558,                0.26635,                0.12482,                 3.6579,                 3.4863,                 3.0011,             0.00034261,             0.00034261,             0.00034261
                      3,                 3.8795,                 2.9619,                  2.755,                0.46679,                0.30513,                0.34554,                0.14525,                 3.8556,                 3.2247,                 3.1404,             0.00050395,             0.00050395,             0.00050395
                      4,                 3.8809,                 2.7654,                 2.7403,                 0.4184,                0.27786,                0.28068,                0.10724,                 3.9155,                 3.4193,                 3.0923,             0.00049447,             0.00049447,             0.00049447
                      5,                 3.8373,                 2.6566,                 2.7389,                0.56707,                0.28757,                 0.3332,                 0.1412,                 3.7934,                 3.3205,                 3.1099,             0.00048396,             0.00048396,             0.00048396
                      6,                 3.7922,                 2.5134,                 2.7163,                0.50419,                0.36627,                0.38508,                0.17637,                 3.6035,                 3.1288,                 2.9666,             0.00047345,             0.00047345,             0.00047345
                      7,                 3.7435,                 2.3973,                 2.6928,                0.57845,                0.39525,                0.47709,                0.22142,                 3.6377,                 2.6376,                 2.9444,             0.00046294,             0.00046294,             0.00046294
                      8,                 3.7032,                 2.3187,                 2.6732,                0.48384,                0.40348,                0.42046,                0.18297,                 3.6909,                 2.7548,                 2.9669,             0.00045243,             0.00045243,             0.00045243
                      9,                 3.6896,                 2.2475,                 2.6631,                0.47774,                0.39979,                0.43968,                0.19082,                 3.8364,                 2.7454,                  3.137,             0.00044192,             0.00044192,             0.00044192
                     10,                 3.6401,                 2.1279,                 2.6378,                 0.4504,                0.40653,                 0.4002,                0.18903,                 3.5872,                 2.8163,                 2.9931,             0.00043141,             0.00043141,             0.00043141
                     11,                  3.628,                 2.1204,                 2.6184,                0.57505,                 0.3937,                0.43385,                0.21129,                 3.6625,                  2.836,                 3.0356,             0.00042091,             0.00042091,             0.00042091
