                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8226,                 4.8484,                 2.6524,                0.53827,                0.28806,                0.31341,                0.13982,                 3.5811,                 3.1705,                 2.8339,             0.00017426,             0.00017426,             0.00017426
                      2,                 3.8746,                 3.0857,                 2.7166,                0.54188,                0.33235,                0.35817,                0.15237,                 3.7672,                 3.3846,                  3.016,             0.00034267,             0.00034267,             0.00034267
                      3,                 3.8936,                 2.9127,                 2.7671,                0.37468,                0.24951,                0.27355,                0.12506,                 3.7281,                 3.6145,                 3.0252,             0.00050414,             0.00050414,             0.00050414
                      4,                  3.856,                 2.7282,                 2.7194,                0.40196,                0.36037,                0.34348,                0.14331,                 3.7753,                 3.5109,                 2.9719,             0.00049476,             0.00049476,             0.00049476
                      5,                 3.8361,                 2.6334,                 2.7292,                0.63078,                0.36393,                0.40688,                0.19744,                 3.6517,                 2.9927,                 2.9261,             0.00048434,             0.00048434,             0.00048434
                      6,                 3.7713,                 2.5183,                 2.7129,                 0.4656,                 0.2898,                0.35683,                0.15844,                 3.6392,                 3.0595,                 2.9344,             0.00047393,             0.00047393,             0.00047393
                      7,                 3.7496,                 2.3575,                 2.6692,                 0.5119,                0.37462,                0.38206,                0.18404,                 3.5674,                 3.2146,                 2.9352,             0.00046351,             0.00046351,             0.00046351
                      8,                 3.7272,                 2.3172,                 2.6698,                0.61259,                0.41338,                0.42371,                 0.1992,                 3.7433,                 2.9985,                 2.9951,              0.0004531,              0.0004531,              0.0004531
                      9,                 3.6836,                  2.216,                 2.6311,                0.40614,                0.42306,                 0.4165,                0.20465,                 3.4702,                 2.7443,                 2.8283,             0.00044268,             0.00044268,             0.00044268
                     10,                 3.6187,                 2.1451,                  2.628,                0.51892,                0.41278,                0.44051,                0.21382,                  3.545,                 2.8962,                 2.9112,             0.00043227,             0.00043227,             0.00043227
                     11,                 3.5997,                  2.092,                 2.6113,                0.60289,                0.35349,                0.41735,                0.21494,                 3.5428,                  2.797,                 2.8711,             0.00042185,             0.00042185,             0.00042185
                     12,                 3.5657,                 2.0682,                 2.6006,                0.50687,                0.43689,                0.48987,                0.23849,                 3.4947,                 2.6056,                 2.8556,             0.00041144,             0.00041144,             0.00041144
                     13,                 3.5673,                 2.0331,                 2.5764,                0.46185,                0.36881,                0.38989,                0.18118,                 3.5898,                 2.7619,                 2.9173,             0.00040102,             0.00040102,             0.00040102
                     14,                 3.5429,                  1.972,                 2.5746,                0.62821,                0.41639,                 0.4503,                0.22326,                 3.4921,                  2.521,                 2.8129,             0.00039061,             0.00039061,             0.00039061
                     15,                 3.5203,                 1.9063,                 2.5698,                0.65676,                0.36347,                0.45388,                 0.2177,                 3.6202,                 2.6596,                 2.9313,             0.00038019,             0.00038019,             0.00038019
                     16,                 3.5182,                 1.8744,                 2.5274,                0.54288,                0.38781,                0.46287,                0.22238,                 3.5355,                  2.616,                 2.8679,             0.00036978,             0.00036978,             0.00036978
                     17,                 3.4545,                  1.817,                 2.5237,                0.49349,                 0.4336,                0.46066,                0.23177,                 3.6102,                 2.4625,                  2.896,             0.00035936,             0.00035936,             0.00035936
                     18,                 3.4548,                 1.8122,                  2.526,                0.60732,                0.44422,                0.48883,                0.24854,                  3.498,                 2.6331,                 2.8612,             0.00034895,             0.00034895,             0.00034895
                     19,                 3.4446,                 1.7997,                 2.5254,                0.41775,                0.37189,                 0.3879,                0.18997,                 3.5221,                 2.6869,                  2.825,             0.00033853,             0.00033853,             0.00033853
                     20,                 3.4043,                 1.7327,                 2.4779,                0.50667,                0.37119,                0.41322,                0.20472,                 3.5955,                 2.6621,                  2.897,             0.00032812,             0.00032812,             0.00032812
                     21,                 3.3879,                 1.7226,                 2.4989,                0.69594,                0.30528,                0.39136,                0.19475,                 3.5664,                 2.5347,                 2.8598,              0.0003177,              0.0003177,              0.0003177
                     22,                 3.3614,                 1.7093,                 2.4731,                 0.5476,                0.40404,                0.46474,                0.23557,                 3.6045,                 2.5698,                 2.9211,             0.00030729,             0.00030729,             0.00030729
                     23,                 3.3601,                  1.683,                 2.4632,                0.58859,                0.40547,                0.44911,                0.22171,                  3.667,                 2.5661,                 2.9069,             0.00029687,             0.00029687,             0.00029687
                     24,                 3.3193,                 1.6428,                 2.4456,                0.53004,                0.40263,                0.47779,                0.24276,                 3.5302,                 2.7009,                 2.8454,             0.00028646,             0.00028646,             0.00028646
                     25,                 3.2999,                 1.6133,                 2.4748,                0.59073,                0.37186,                0.44524,                0.20907,                 3.5512,                 2.5682,                  2.836,             0.00027604,             0.00027604,             0.00027604
                     26,                 3.2877,                 1.6134,                 2.4584,                0.64092,                0.40819,                0.47404,                0.24669,                 3.5613,                 2.5151,                 2.8545,             0.00026563,             0.00026563,             0.00026563
                     27,                 3.2645,                 1.5743,                  2.425,                0.47531,                0.39503,                0.43713,                0.21306,                 3.5759,                 2.5129,                  2.879,             0.00025522,             0.00025522,             0.00025522
                     28,                 3.2441,                 1.5659,                 2.4234,                0.52017,                0.40663,                0.45868,                0.23083,                 3.5491,                 2.4588,                 2.8463,              0.0002448,              0.0002448,              0.0002448
                     29,                 3.2335,                  1.538,                 2.4105,                0.48395,                0.35204,                0.41154,                0.20304,                 3.5249,                 2.6482,                 2.7967,             0.00023439,             0.00023439,             0.00023439
                     30,                 3.2329,                  1.517,                 2.3962,                0.53492,                0.43978,                0.48576,                0.23184,                 3.6427,                 2.6193,                 2.8858,             0.00022397,             0.00022397,             0.00022397
                     31,                 3.2144,                 1.5009,                 2.3997,                0.64271,                0.36608,                0.43535,                0.21448,                 3.5571,                 2.4962,                 2.8132,             0.00021356,             0.00021356,             0.00021356
                     32,                 3.1847,                 1.4754,                 2.3881,                0.55222,                 0.3595,                0.43069,                0.21271,                 3.5344,                 2.6624,                 2.8514,             0.00020314,             0.00020314,             0.00020314
                     33,                 3.1565,                 1.4465,                  2.376,                0.66465,                 0.3545,                0.43316,                0.22142,                  3.563,                 2.6272,                 2.8536,             0.00019273,             0.00019273,             0.00019273
                     34,                 3.1435,                 1.4363,                 2.3517,                0.68966,                0.36169,                0.41246,                0.20769,                 3.5707,                 2.4445,                 2.8547,             0.00018231,             0.00018231,             0.00018231
                     35,                  3.118,                 1.4014,                 2.3677,                 0.4728,                0.41425,                0.43785,                0.22532,                 3.5181,                  2.526,                 2.8318,              0.0001719,              0.0001719,              0.0001719
                     36,                 3.1108,                 1.4108,                 2.3544,                0.61156,                0.34816,                0.41028,                0.20312,                 3.6189,                 2.6519,                 2.9113,             0.00016148,             0.00016148,             0.00016148
                     37,                 3.0973,                 1.3664,                  2.333,                0.70104,                0.35319,                0.42099,                0.21348,                 3.5983,                 2.7189,                 2.8972,             0.00015107,             0.00015107,             0.00015107
                     38,                  3.076,                 1.3631,                 2.3426,                0.68895,                0.34838,                0.40565,                0.19812,                  3.592,                 2.5509,                  2.907,             0.00014065,             0.00014065,             0.00014065
