                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8139,                 4.8528,                 2.6483,                0.49316,                0.26249,                0.25448,                0.11925,                 3.5139,                 3.0637,                 2.8281,             0.00017426,             0.00017426,             0.00017426
                      2,                 3.8309,                 3.0585,                 2.6929,                0.33282,                0.29469,                0.26822,                0.12545,                 3.6743,                 3.4341,                 3.0035,             0.00034261,             0.00034261,             0.00034261
                      3,                 3.8795,                 2.9619,                  2.755,                0.46858,                0.30513,                0.34417,                0.14666,                 3.8899,                 3.2096,                 3.1636,             0.00050395,             0.00050395,             0.00050395
                      4,                 3.8809,                 2.7654,                 2.7403,                0.41747,                 0.2826,                0.28072,                0.10711,                 3.9274,                 3.3773,                 3.1053,             0.00049447,             0.00049447,             0.00049447
                      5,                 3.8373,                 2.6566,                 2.7389,                0.53477,                0.30131,                   0.33,                0.13941,                 3.7453,                 3.2345,                 3.0758,             0.00048396,             0.00048396,             0.00048396
                      6,                 3.7922,                 2.5134,                 2.7163,                0.49664,                0.36428,                0.38409,                0.17694,                 3.6107,                 3.0827,                 2.9778,             0.00047345,             0.00047345,             0.00047345
                      7,                 3.7435,                 2.3973,                 2.6928,                0.57344,                0.39392,                0.46926,                0.22012,                 3.6518,                 2.5625,                 2.9602,             0.00046294,             0.00046294,             0.00046294
                      8,                 3.7032,                 2.3187,                 2.6732,                0.47492,                0.40476,                0.41495,                 0.1832,                  3.688,                 2.6849,                 2.9703,             0.00045243,             0.00045243,             0.00045243
                      9,                 3.6896,                 2.2475,                 2.6631,                0.48199,                0.39984,                0.43836,                0.19047,                 3.8599,                 2.6612,                 3.1604,             0.00044192,             0.00044192,             0.00044192
                     10,                 3.6401,                 2.1279,                 2.6378,                0.45552,                0.40603,                0.40028,                0.18945,                  3.602,                 2.7093,                 3.0082,             0.00043141,             0.00043141,             0.00043141
                     11,                  3.628,                 2.1204,                 2.6184,                0.57574,                0.39388,                0.43378,                0.21154,                 3.6473,                  2.721,                 3.0325,             0.00042091,             0.00042091,             0.00042091
                     12,                 3.5746,                 2.0124,                 2.5876,                0.54123,                0.36753,                0.42535,                0.19594,                 3.5862,                  2.758,                 2.9198,              0.0004104,              0.0004104,              0.0004104
                     13,                 3.5742,                 2.0068,                 2.5832,                0.53433,                0.35752,                0.42632,                0.21293,                 3.5708,                 2.6689,                  2.914,             0.00039989,             0.00039989,             0.00039989
                     14,                  3.538,                 1.9555,                 2.5815,                0.54004,                0.36262,                0.38449,                0.18624,                 3.5463,                  2.705,                 2.8308,             0.00038938,             0.00038938,             0.00038938
                     15,                 3.5129,                 1.9215,                 2.5713,                0.53647,                0.34891,                0.42062,                0.19264,                 3.6929,                 2.6698,                 2.9991,             0.00037887,             0.00037887,             0.00037887
                     16,                 3.4984,                 1.8846,                 2.5744,                0.51232,                0.36253,                0.43337,                0.21402,                 3.5625,                 2.6589,                 2.9148,             0.00036836,             0.00036836,             0.00036836
                     17,                 3.4852,                 1.8597,                 2.5329,                0.58997,                0.28956,                0.38712,                0.18738,                 3.5966,                 2.7243,                 2.9217,             0.00035785,             0.00035785,             0.00035785
                     18,                 3.4851,                 1.8271,                 2.5223,                0.67858,                  0.356,                0.46154,                  0.229,                  3.523,                 2.4256,                 2.8558,             0.00034734,             0.00034734,             0.00034734
                     19,                 3.4275,                 1.7832,                 2.5209,                0.53891,                0.36236,                0.42648,                0.22551,                 3.4003,                 2.5013,                 2.8024,             0.00033683,             0.00033683,             0.00033683
                     20,                 3.4179,                   1.74,                 2.5068,                0.65825,                0.37693,                0.45486,                0.23433,                  3.565,                 2.5352,                 2.8832,             0.00032632,             0.00032632,             0.00032632
                     21,                 3.4063,                 1.7115,                 2.5057,                0.72065,                0.34251,                 0.4241,                0.20655,                 3.5407,                 2.6198,                 2.8578,             0.00031581,             0.00031581,             0.00031581
                     22,                 3.3703,                  1.704,                 2.4897,                0.58077,                0.32771,                0.40251,                0.18542,                 3.5637,                 2.6565,                 2.8897,              0.0003053,              0.0003053,              0.0003053
                     23,                 3.3472,                 1.6773,                 2.4797,                0.62963,                0.37732,                 0.4646,                 0.2403,                 3.4941,                 2.5431,                 2.8211,             0.00029479,             0.00029479,             0.00029479
                     24,                 3.3364,                  1.648,                 2.4699,                0.66487,                0.37438,                 0.4634,                 0.2341,                 3.4494,                  2.612,                  2.795,             0.00028428,             0.00028428,             0.00028428
                     25,                 3.3218,                 1.6186,                 2.4825,                0.64196,                0.39707,                0.46252,                0.23592,                  3.392,                 2.6363,                 2.7973,             0.00027377,             0.00027377,             0.00027377
                     26,                 3.2909,                 1.5942,                   2.46,                 0.6193,                0.39659,                0.46913,                0.23777,                 3.5395,                 2.5101,                 2.8573,             0.00026326,             0.00026326,             0.00026326
                     27,                 3.2581,                 1.5798,                 2.4467,                0.49254,                0.39954,                0.43705,                0.21585,                 3.5311,                 2.5579,                 2.8705,             0.00025275,             0.00025275,             0.00025275
                     28,                 3.2744,                 1.5516,                 2.4468,                0.67647,                0.38729,                0.46622,                0.23784,                 3.5051,                 2.7129,                 2.8465,             0.00024224,             0.00024224,             0.00024224
                     29,                 3.2422,                 1.5306,                 2.4322,                0.50772,                0.36783,                0.40744,                0.19399,                 3.6129,                 2.8106,                 2.9054,             0.00023173,             0.00023173,             0.00023173
                     30,                 3.2256,                 1.5261,                 2.4269,                0.52216,                0.38254,                0.45191,                0.23782,                 3.4289,                 2.6762,                 2.7974,             0.00022123,             0.00022123,             0.00022123
                     31,                 3.1966,                  1.509,                 2.4142,                0.53948,                0.36957,                0.42055,                0.20915,                 3.5155,                 2.4537,                 2.8464,             0.00021072,             0.00021072,             0.00021072
                     32,                 3.1782,                 1.4821,                 2.4037,                 0.6535,                0.40158,                0.45565,                0.23311,                 3.5431,                 2.5524,                 2.8582,             0.00020021,             0.00020021,             0.00020021
                     33,                 3.1461,                 1.4422,                 2.3872,                0.57886,                0.41779,                0.45402,                0.22288,                  3.572,                 2.4691,                 2.8774,              0.0001897,              0.0001897,              0.0001897
