                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8226,                 4.8484,                 2.6524,                0.53827,                0.28806,                0.31341,                0.13982,                 3.5811,                 3.1705,                 2.8339,             0.00017426,             0.00017426,             0.00017426
                      2,                 3.8774,                 3.0871,                 2.7227,                0.46163,                 0.3274,                0.32229,                0.13343,                 3.6302,                 3.1503,                 2.9099,             0.00034261,             0.00034261,             0.00034261
                      3,                 3.9077,                 2.9216,                 2.7837,                 0.2985,                0.26547,                0.26049,                0.10843,                 3.6711,                 3.7949,                 3.0336,             0.00050395,             0.00050395,             0.00050395
                      4,                  3.851,                 2.7398,                 2.7199,                0.38582,                 0.2818,                0.31558,                0.13651,                 3.7006,                 3.1601,                 2.9703,             0.00049447,             0.00049447,             0.00049447
                      5,                 3.8292,                 2.5986,                 2.7456,                0.59457,                0.37077,                0.41014,                0.18329,                 3.7083,                  2.897,                 2.9789,             0.00048396,             0.00048396,             0.00048396
                      6,                 3.7818,                 2.5122,                 2.7315,                0.43875,                0.35557,                0.35424,                0.14377,                 3.7784,                 3.0457,                 3.1223,             0.00047345,             0.00047345,             0.00047345
                      7,                 3.7418,                 2.3787,                 2.6831,                0.42951,                0.34078,                0.40527,                0.17905,                 3.6449,                 2.7264,                 2.9909,             0.00046294,             0.00046294,             0.00046294
                      8,                 3.7145,                 2.3235,                 2.6632,                0.40645,                0.39273,                0.36897,                0.16057,                 3.7458,                 2.8059,                 2.9352,             0.00045243,             0.00045243,             0.00045243
                      9,                 3.6786,                  2.213,                 2.6364,                0.55885,                0.40989,                0.43715,                0.20523,                 3.6241,                 2.9232,                 2.9158,             0.00044192,             0.00044192,             0.00044192
                     10,                  3.614,                 2.1242,                 2.6288,                0.54568,                 0.3731,                0.44324,                0.22406,                 3.5536,                 2.8694,                  2.874,             0.00043141,             0.00043141,             0.00043141
                     11,                 3.6157,                 2.0912,                 2.6262,                0.63799,                0.38259,                0.45568,                0.21429,                 3.6157,                 2.9743,                 2.9363,             0.00042091,             0.00042091,             0.00042091
                     12,                 3.5728,                 2.0457,                 2.6061,                0.59943,                0.37284,                 0.4118,                0.21206,                 3.5987,                 2.8058,                 2.9338,              0.0004104,              0.0004104,              0.0004104
                     13,                 3.5583,                 2.0218,                 2.5812,                0.45996,                0.35272,                0.39165,                0.19155,                 3.6278,                 2.7019,                 2.9598,             0.00039989,             0.00039989,             0.00039989
