                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8226,                 4.8484,                 2.6524,                0.53695,                0.28859,                0.31487,                0.14079,                 3.5941,                 3.1141,                 2.8535,             0.00017426,             0.00017426,             0.00017426
                      2,                 3.8746,                 3.0857,                 2.7166,                 0.5513,                0.33564,                0.36361,                0.15562,                 3.7248,                 3.2874,                 3.0046,             0.00034267,             0.00034267,             0.00034267
                      3,                 3.8936,                 2.9127,                 2.7671,                0.50784,                0.23837,                0.27119,                0.12395,                 3.7294,                 3.5605,                  3.036,             0.00050414,             0.00050414,             0.00050414
                      4,                  3.856,                 2.7282,                 2.7194,                0.39523,                0.34455,                0.34164,                0.14211,                 3.7669,                   3.45,                 2.9707,             0.00049476,             0.00049476,             0.00049476
                      5,                 3.8361,                 2.6334,                 2.7292,                0.63416,                0.36386,                 0.4043,                0.19576,                   3.65,                 2.9118,                 2.9271,             0.00048434,             0.00048434,             0.00048434
                      6,                 3.7713,                 2.5183,                 2.7129,                0.46037,                0.29381,                0.35627,                0.15813,                 3.6126,                 3.0322,                 2.9194,             0.00047393,             0.00047393,             0.00047393
                      7,                 3.7496,                 2.3575,                 2.6692,                 0.5147,                0.37409,                0.37977,                0.18278,                 3.5512,                 3.1062,                 2.9241,             0.00046351,             0.00046351,             0.00046351
                      8,                 3.7272,                 2.3172,                 2.6698,                0.60543,                0.41465,                0.42425,                0.19926,                 3.7433,                  2.905,                 3.0087,              0.0004531,              0.0004531,              0.0004531
                      9,                 3.6836,                  2.216,                 2.6311,                  0.407,                0.42519,                0.41452,                 0.2037,                 3.4605,                 2.6756,                 2.8276,             0.00044268,             0.00044268,             0.00044268
                     10,                 3.6187,                 2.1451,                  2.628,                0.51412,                0.41713,                0.44206,                0.21411,                 3.5419,                 2.7864,                 2.9128,             0.00043227,             0.00043227,             0.00043227
                     11,                 3.5997,                  2.092,                 2.6113,                0.60263,                0.35386,                0.41784,                0.21556,                 3.5155,                 2.7185,                 2.8611,             0.00042185,             0.00042185,             0.00042185
                     12,                 3.5657,                 2.0682,                 2.6006,                0.50807,                0.43486,                 0.4881,                0.23756,                 3.5028,                 2.5223,                 2.8628,             0.00041144,             0.00041144,             0.00041144
                     13,                 3.5673,                 2.0331,                 2.5764,                0.45815,                0.39177,                0.39123,                 0.1833,                 3.5766,                 2.6637,                 2.9152,             0.00040102,             0.00040102,             0.00040102
                     14,                 3.5429,                  1.972,                 2.5746,                0.66216,                 0.3977,                0.45058,                0.22372,                 3.5003,                 2.3888,                 2.8224,             0.00039061,             0.00039061,             0.00039061
                     15,                 3.5203,                 1.9063,                 2.5698,                0.62883,                0.39124,                0.45695,                0.21931,                 3.6433,                 2.5457,                 2.9449,             0.00038019,             0.00038019,             0.00038019
                     16,                 3.5182,                 1.8744,                 2.5274,                0.45779,                0.41586,                 0.4656,                0.22406,                 3.5427,                 2.5373,                 2.8846,             0.00036978,             0.00036978,             0.00036978
                     17,                 3.4545,                  1.817,                 2.5237,                0.39081,                0.46246,                0.46118,                0.23256,                 3.5764,                 2.3884,                  2.889,             0.00035936,             0.00035936,             0.00035936
                     18,                 3.4548,                 1.8122,                  2.526,                0.61002,                0.44422,                0.48877,                0.24969,                 3.5065,                  2.545,                 2.8621,             0.00034895,             0.00034895,             0.00034895
                     19,                 3.4446,                 1.7997,                 2.5254,                0.41774,                0.37134,                0.38853,                0.19095,                 3.5078,                 2.6199,                 2.8314,             0.00033853,             0.00033853,             0.00033853
                     20,                 3.4043,                 1.7327,                 2.4779,                0.49618,                0.37189,                0.41619,                0.20626,                  3.596,                 2.5639,                 2.8953,             0.00032812,             0.00032812,             0.00032812
                     21,                 3.3879,                 1.7226,                 2.4989,                0.68443,                0.30811,                0.39182,                0.19482,                 3.5455,                 2.4449,                  2.849,              0.0003177,              0.0003177,              0.0003177
                     22,                 3.3614,                 1.7093,                 2.4731,                0.54959,                0.40693,                0.46697,                0.23524,                 3.5856,                 2.4678,                 2.9171,             0.00030729,             0.00030729,             0.00030729
                     23,                 3.3601,                  1.683,                 2.4632,                0.58486,                0.40935,                0.44696,                0.22073,                 3.6286,                  2.447,                 2.8918,             0.00029687,             0.00029687,             0.00029687
                     24,                 3.3193,                 1.6428,                 2.4456,                0.51892,                0.42257,                0.47987,                0.24354,                 3.5209,                 2.6076,                 2.8483,             0.00028646,             0.00028646,             0.00028646
                     25,                 3.2999,                 1.6133,                 2.4748,                 0.5668,                0.37941,                0.44739,                0.21162,                 3.5288,                 2.4523,                 2.8256,             0.00027604,             0.00027604,             0.00027604
                     26,                 3.2877,                 1.6134,                 2.4584,                0.63974,                0.40877,                0.47327,                0.24627,                 3.5389,                 2.4318,                 2.8395,             0.00026563,             0.00026563,             0.00026563
