                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.596,                 2.9931,                 1.8374,                0.34411,                0.12368,                0.11772,                0.04909,                 2.0326,                 2.0108,                 1.5406,             0.00017426,             0.00017426,             0.00017426
                      2,                 2.1055,                 2.1793,                   1.43,                0.47831,                0.15433,                0.16927,                0.07572,                 1.8523,                 2.0574,                 1.4088,             0.00034261,             0.00034261,             0.00034261
                      3,                 1.9911,                 1.9487,                 1.3588,                0.14753,                0.20564,                0.16702,                0.06366,                 1.9101,                 1.7425,                 1.4095,             0.00050395,             0.00050395,             0.00050395
                      4,                 1.9476,                 1.7866,                 1.3221,                 0.1649,                0.24432,                  0.221,                0.09883,                 1.8116,                 1.5807,                 1.3471,             0.00049447,             0.00049447,             0.00049447
                      5,                 1.9035,                 1.6947,                  1.301,                0.25844,                0.27147,                0.24803,                0.10803,                 1.8511,                  1.626,                 1.3889,             0.00048396,             0.00048396,             0.00048396
                      6,                 1.8763,                 1.5844,                 1.2835,                0.54923,                0.24599,                0.28624,                0.14142,                 1.7993,                 1.5532,                 1.3567,             0.00047345,             0.00047345,             0.00047345
                      7,                 1.8461,                 1.5009,                 1.2663,                 0.3008,                0.35298,                 0.3492,                0.16399,                 1.8546,                 1.4719,                 1.3775,             0.00046294,             0.00046294,             0.00046294
                      8,                 1.8347,                 1.4426,                 1.2657,                  0.304,                0.31557,                0.33005,                0.15899,                 1.8212,                 1.5353,                 1.3484,             0.00045243,             0.00045243,             0.00045243
                      9,                  1.816,                 1.3941,                  1.251,                0.32713,                0.32578,                 0.3307,                 0.1564,                 1.8099,                 1.4984,                 1.3585,             0.00044192,             0.00044192,             0.00044192
                     10,                 1.8004,                 1.3441,                 1.2452,                0.37195,                0.35306,                0.37841,                0.18687,                 1.7719,                 1.4647,                 1.3192,             0.00043141,             0.00043141,             0.00043141
                     11,                  1.787,                 1.3126,                 1.2325,                0.36036,                0.32726,                0.37238,                0.17136,                 1.8258,                 1.4608,                 1.3553,             0.00042091,             0.00042091,             0.00042091
                     12,                 1.7726,                 1.2681,                 1.2251,                0.30928,                0.30613,                0.33562,                0.16154,                 1.7725,                 1.4291,                 1.3088,              0.0004104,              0.0004104,              0.0004104
                     13,                 1.7754,                 1.2579,                 1.2208,                0.33397,                0.36227,                 0.3812,                0.17041,                  1.793,                 1.4834,                 1.3483,             0.00039989,             0.00039989,             0.00039989
                     14,                 1.7566,                 1.2274,                 1.2209,                0.33487,                  0.343,                 0.3897,                0.19469,                 1.7428,                 1.3562,                 1.2888,             0.00038938,             0.00038938,             0.00038938
                     15,                 1.7504,                 1.2088,                 1.2197,                0.39111,                 0.3585,                0.39521,                 0.1843,                  1.773,                   1.37,                 1.3149,             0.00037887,             0.00037887,             0.00037887
                     16,                 1.7387,                 1.1814,                 1.2141,                0.34451,                0.35306,                0.35433,                0.17801,                  1.738,                 1.4162,                  1.294,             0.00036836,             0.00036836,             0.00036836
