                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8176,                 5.0922,                 2.7185,                0.47181,                0.36816,                0.38605,                0.20595,                 3.2077,                  2.458,                 2.6197,               0.070366,              0.0032927,              0.0032927
                      2,                 3.6149,                 2.6997,                 2.5664,                0.57945,                0.43862,                0.48297,                0.25886,                 3.1721,                 2.2013,                 2.5985,               0.040233,              0.0064936,              0.0064936
                      3,                 3.6353,                 2.5239,                 2.5635,                0.55336,                0.50933,                0.49309,                0.24739,                 3.4176,                  2.411,                  2.745,              0.0099679,              0.0095614,              0.0095614
                      4,                  3.654,                 2.3664,                 2.6164,                0.57063,                0.41256,                0.51654,                0.24445,                 3.3625,                 2.3453,                 2.7999,              0.0094006,              0.0094006,              0.0094006
                      5,                 3.6165,                 2.1907,                 2.5959,                0.52727,                0.36922,                0.44827,                0.22533,                 3.4126,                 2.4615,                 2.7397,              0.0092008,              0.0092008,              0.0092008
                      6,                    3.6,                 2.0475,                 2.5807,                0.62857,                0.41332,                0.47738,                0.24379,                 3.3998,                  2.823,                 2.8075,               0.009001,               0.009001,               0.009001
                      7,                 3.5604,                 2.0034,                  2.579,                 0.5981,                0.38317,                0.44683,                0.21991,                 3.4617,                  2.722,                 2.8056,              0.0088012,              0.0088012,              0.0088012
                      8,                  3.528,                 1.9191,                 2.5721,                0.65035,                0.38541,                 0.4513,                 0.2289,                 3.4392,                 2.5668,                 2.8189,              0.0086014,              0.0086014,              0.0086014
                      9,                 3.5045,                 1.8431,                 2.5653,                 0.5489,                 0.4554,                0.49508,                0.24171,                 3.5326,                 2.2976,                  2.883,              0.0084016,              0.0084016,              0.0084016
                     10,                 3.4779,                 1.8054,                 2.5379,                0.67699,                0.38713,                0.48377,                0.23071,                 3.5206,                 2.6319,                 2.8654,              0.0082018,              0.0082018,              0.0082018
                     11,                 3.4339,                 1.7602,                 2.5501,                0.67092,                0.38628,                0.44352,                0.23274,                 3.5702,                  2.743,                 2.9311,               0.008002,               0.008002,               0.008002
                     12,                 3.4059,                 1.7169,                 2.5057,                0.57718,                0.40978,                0.43599,                0.21534,                 3.4003,                 2.7498,                  2.827,              0.0078022,              0.0078022,              0.0078022
                     13,                 3.3737,                 1.6782,                 2.5152,                 0.6934,                0.34654,                0.42171,                0.20429,                 3.5074,                 2.4779,                 2.9148,              0.0076024,              0.0076024,              0.0076024
                     14,                 3.3466,                 1.6306,                 2.5163,                 0.6573,                 0.3717,                0.40947,                0.19641,                 3.4765,                 2.8228,                 2.8996,              0.0074026,              0.0074026,              0.0074026
                     15,                 3.3114,                 1.5989,                 2.4959,                 0.6424,                 0.4297,                 0.4906,                0.23943,                 3.5635,                 2.6059,                 2.8824,              0.0072028,              0.0072028,              0.0072028
                     16,                 3.3011,                 1.5556,                 2.4553,                0.65679,                0.45961,                0.52835,                0.27153,                 3.4412,                 2.4661,                 2.8339,               0.007003,               0.007003,               0.007003
                     17,                 3.2848,                 1.5297,                  2.443,                0.68027,                0.38976,                0.47759,                0.24711,                 3.4044,                 2.8233,                  2.809,              0.0068032,              0.0068032,              0.0068032
                     18,                 3.2696,                  1.509,                 2.4432,                0.67145,                0.32216,                 0.3938,                0.19309,                 3.4743,                 2.8903,                 2.8248,              0.0066034,              0.0066034,              0.0066034
                     19,                 3.2245,                 1.4784,                 2.4151,                0.55024,                0.40959,                0.48448,                0.25974,                 3.3766,                 2.5161,                 2.7649,              0.0064036,              0.0064036,              0.0064036
                     20,                 3.2005,                 1.4458,                 2.4127,                0.70744,                0.36358,                0.42961,                0.20481,                 3.4677,                  2.685,                 2.8566,              0.0062038,              0.0062038,              0.0062038
                     21,                 3.1512,                 1.4165,                 2.3915,                0.55765,                0.40002,                0.45173,                0.22987,                 3.3645,                 2.4929,                 2.7929,               0.006004,               0.006004,               0.006004
                     22,                 3.1573,                 1.4134,                 2.3923,                0.67523,                0.38575,                0.47965,                0.23905,                 3.3759,                 2.5329,                 2.7878,              0.0058042,              0.0058042,              0.0058042
                     23,                 3.1138,                 1.3786,                  2.392,                0.49979,                0.43479,                 0.4601,                0.23337,                 3.4253,                 2.4274,                 2.8054,              0.0056044,              0.0056044,              0.0056044
                     24,                  3.092,                 1.3621,                 2.3722,                 0.5819,                0.36634,                0.45512,                0.22338,                 3.4392,                 2.5383,                 2.8285,              0.0054046,              0.0054046,              0.0054046
                     25,                 3.0682,                 1.3156,                 2.3604,                 0.7605,                0.41321,                0.52437,                0.28309,                  3.364,                 2.6329,                 2.7728,              0.0052048,              0.0052048,              0.0052048
                     26,                 3.0335,                 1.2995,                 2.3314,                0.57572,                0.40068,                 0.4911,                0.24694,                  3.422,                 2.6476,                 2.8078,               0.005005,               0.005005,               0.005005
                     27,                 2.9985,                 1.2817,                 2.3199,                0.70301,                0.47769,                0.56088,                0.29012,                 3.4155,                 2.4407,                 2.7902,              0.0048052,              0.0048052,              0.0048052
                     28,                 2.9922,                 1.2744,                 2.3165,                0.79662,                 0.4506,                0.54441,                0.29432,                 3.4295,                 2.3692,                 2.8105,              0.0046054,              0.0046054,              0.0046054
                     29,                 2.9836,                 1.2683,                 2.2921,                 0.6323,                0.44199,                0.53506,                0.27919,                 3.4446,                 2.4254,                 2.8104,              0.0044056,              0.0044056,              0.0044056
